23514;8810;WCSW;IL;Arrowsmith;2820 Communications INC;100;40.476389;-88.553889
23611;8810;WCWP;NY;Brookville;Long Island University;100;40.816667;-73.596944
23831;8810;WDFB;KY;Danville;Alum Springs Educational Corporation;;;
23932;8810;WDIY;PA;Allentown;LEHIGH VALLEY COMMUNITY BROADCASTERS ASSOCIATION INC;300;40.56456;-75.43992
24047;8810;WDNJ;NJ;Hopatcong;Youngshine Media, Inc.;500;40.94039;-74.61294
24107;8810;WDPR;OH;Dayton;Dayton Public Radio, Inc.;780;39.721111;-84.250000
24190;8810;WDSW;MS;Westby;;100;33.744444;-90.735556
24523;8810;WEFR;PA;Erie;Family Stations, Inc.;630;41.96644;-80.11089
24669;8810;WELH;RI;Providence;The Wheeler School;4000;41.857500;-71.318333
24857;8810;WESN;IL;Bloomington;Illinois Wesleyan University;120;40.49114;-88.99367
24864;8810;WESU;CT;Middletown;WESLEYAN UNIVERSITY;6000;41.55342;-72.65758
24883;8810;WLWX;IL;Wheaton;K-LOVE, Inc.;250;41.86919;-88.09894
24990;8810;XHRED;CD;;;;;
25119;8810;WFCP;PA;Pine Grove;;200;40.506667;-76.376667
25228;8810;WFGU;OH;Peebles;Hope Radio of Winchester;3900;38.949444;-83.408333
25245;8810;WFHL;MA;New Bedford;New Bedford Christian Radio, Inc.;300;41.63761;-70.87142
25530;8810;WFSK;TN;Nashville;Fisk University;700;36.166667;-86.804722
25932;8810;WGHW;NC;Lockwoods Folly Town;PEACE BAPTIST CHURCH OF WILMINGTON, NC;52000;34.097778;-77.971667
26051;8810;WGML;NC;Vanceboro;Pathway Christian Academy, Inc.;7000;35.487500;-77.044722
26317;8810;WGWR;NY;Liberty;UNIVERSITY OF NORTHWESTERN - ST. PAUL;38;41.80117;-74.78431
26318;8810;WGWS;MD;St. Mary'S City;CSN International, Inc.;1100;38.14542;-76.37244
26599;8810;WHHN;PA;Hollidaysburg;Radio Maria, Inc.;850;40.48869;-78.35528
26615;8810;WHID;WI;Green Bay;Board Of Regents, Univ. Of Wisconsin System;17000;44.35925;-87.98575
26621;8810;WHIJ;FL;Ocala;Radio Training Network Inc;1250;29.237778;-82.121111
26649;8810;WHJL;WI;Merrill;WRVM, Inc;63000;45.35208;-89.65367
26789;8810;WHOV;VA;Hampton;Hampton University;8000;37.017500;-76.336944
26811;8810;WHPR;MI;Highland Park;r.j.'s late night entertainment corporation;;;
26857;8810;WHRL;VA;Emporia;Hampton Roads Educational Telecommunications Association, Inc.;;;
26862;8810;WHRQ;OH;Sandusky;Ave Maria Communications;380;41.37722;-82.81444
27047;8810;WHYT;MI;Goodland Township;Smile FM;;;
27274;8810;WIHM;IL;Harrisburg;COVENANT NETWORK;4800;37.7175;-88.54361
27291;8810;WIID;NC;Rodanthe;Seacoast Radio Network Corp;;;
27982;8810;WJIS;FL;Bradenton;Radio Training Network Inc;100000;27.131667;-82.394167
27999;8810;WJJJ;WV;Beckley;Shofar Broadcasting Corporation;840;37.590000;-81.115000
28152;8810;WJPG;NJ;Cape May Court House;Maranatha Ministries / Joy Communications, Inc.;1500;39.12983;-74.78794
28239;8810;WJSP;GA;Warm Springs;GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION;100000;32.852222;-84.701111
28274;8810;WJTY;WI;Lancaster;Intentional Life Media;7000;42.95244;-90.43014
